tick, sec, speed, distance, spdacm, x, y, energy
170, 2.833333, 0.705627, 125.943468, 125.253906, 625.253906, 109.000000, 1133049333.333333
171, 2.850000, 0.695273, 126.638741, 125.957031, 625.957031, 109.000000, 1133049333.333333
172, 2.866667, 0.684921, 127.323662, 126.652344, 626.652344, 109.000000, 1133049333.333333
173, 2.883333, 0.674572, 127.998234, 127.339844, 627.339844, 109.000000, 1133049333.333333
174, 2.900000, 0.664225, 128.662459, 128.011719, 628.011719, 109.000000, 1133049333.333333
175, 2.916667, 0.653880, 129.316339, 128.675781, 628.675781, 109.000000, 1133049333.333333
176, 2.933333, 0.643539, 129.959878, 129.332031, 629.332031, 109.000000, 1133049333.333333
177, 2.950000, 0.633199, 130.593077, 129.972656, 629.972656, 109.000000, 1133049333.333333
178, 2.966667, 0.622863, 131.215940, 130.605469, 630.605469, 109.000000, 1133049333.333333
179, 2.983333, 0.612529, 131.828470, 131.230469, 631.230469, 109.000000, 1133049333.333333
180, 3.000000, 0.602199, 132.430668, 131.843750, 631.843750, 109.000000, 1133049333.333333
181, 3.016667, 0.591871, 133.022539, 132.445313, 632.445313, 109.000000, 1133049333.333333
182, 3.033333, 0.581547, 133.604086, 133.035156, 633.035156, 109.000000, 1133049333.333333
183, 3.050000, 0.571226, 134.175312, 133.617188, 633.617188, 109.000000, 1133049333.333333
184, 3.066667, 0.560908, 134.736219, 134.191406, 634.191406, 109.000000, 1133049333.333333
185, 3.083333, 0.550593, 135.286813, 134.750000, 634.750000, 109.000000, 1133049333.333333
186, 3.100000, 0.540283, 135.827095, 135.300781, 635.300781, 109.000000, 1133049333.333333
187, 3.116667, 0.529976, 136.357071, 135.839844, 635.839844, 109.000000, 1133049333.333333
188, 3.133333, 0.519673, 136.876744, 136.371094, 636.371094, 109.000000, 1133049333.333333
189, 3.150000, 0.509374, 137.386117, 136.890625, 636.890625, 109.000000, 1133049333.333333
190, 3.166667, 0.499079, 137.885196, 137.402344, 637.402344, 109.000000, 1133049333.333333
191, 3.183333, 0.488788, 138.373984, 137.898438, 637.898438, 109.000000, 1133049333.333333
192, 3.200000, 0.478502, 138.852486, 138.386719, 638.386719, 109.000000, 1133049333.333333
193, 3.216667, 0.468221, 139.320708, 138.867188, 638.867188, 109.000000, 1133049333.333333
194, 3.233333, 0.457945, 139.778653, 139.335938, 639.335938, 109.000000, 1133049333.333333
195, 3.250000, 0.447674, 140.226327, 139.792969, 639.792969, 109.000000, 1133049333.333333
196, 3.266667, 0.437408, 140.663735, 140.242188, 640.242188, 109.000000, 1133049333.333333
197, 3.283333, 0.427149, 141.090884, 140.679688, 640.679688, 109.000000, 1133049333.333333
198, 3.300000, 0.416894, 141.507778, 141.105469, 641.105469, 109.000000, 1133049333.333333
199, 3.316667, 0.406647, 141.914425, 141.523438, 641.523438, 109.000000, 1133049333.333333
200, 3.333333, 0.396405, 142.310830, 141.929688, 641.929688, 109.000000, 1133049333.333333
201, 3.350000, 0.386171, 142.697001, 142.324219, 642.324219, 109.000000, 1133049333.333333
202, 3.366667, 0.375944, 143.072945, 142.710938, 642.710938, 109.000000, 1133049333.333333
203, 3.383333, 0.365724, 143.438668, 143.085938, 643.085938, 109.000000, 1133049333.333333
204, 3.400000, 0.355512, 143.794180, 143.453125, 643.453125, 109.000000, 1133049333.333333
